country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,
Albania,,,,,,,,,,,,,,,,,,4.23,4.33,5.02,5.65,4.87,4.1,4.24,4.5,5.3,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29
Argentina,,,,,,,,,,,,,,,1.92,1.51,1.31,,1.01,1.04,0.962,0.851,0.932,0.873,0.906,,,1.23
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,7.54,6.94,5.1,
Australia,0.95,1.37,1.83,1.83,1.69,1.38,1.3,1.39,1.31,1.09,0.933,0.951,0.882,0.828,0.742,0.643,0.64,0.596,0.558,0.736,0.799,0.815,0.814,0.888,1.08,1.08,1.08,1.04
Austria,,,,,0.758,0.958,1,1.15,1.14,1.09,0.885,0.781,0.664,0.74,1.12,1.09,1.03,1.05,0.814,0.915,0.871,0.87,0.95,1.06,1.12,1.13,1.24,1.19
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.91,2.93,2.83,2.66,2.61,2.57,2.59,2.61,2.55
Belgium,,,2.32,2.62,3.18,3.2,3.27,3.04,3.12,2.7,2.19,1.55,1.86,1.88,2.04,2.48,2.33,2.14,1.8,1.92,2.2,1.81,1.69,2.05,2.03,2.02,1.95,1.75
Bangladesh,,,,,,,,,,,,,,,,,0.0911,,,,0.941,,,1.11,,,,0.572
Bulgaria,,,,,,,,,,,4.72,5.88,5.49,4.16,3.51,2.83,2.71,2.32,1.68,1.78,2.72,3.01,3.19,3.62,3.32,2.68,2.13,1.81
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,7.21,6.86,5.49,5.14,6.28,6.03,6.3,,6.84,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.833,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,
Bolivia,,,,,,,,,,,,,,,,1.26,0.894,0.6,0.543,0.598,,0.408,0.411,0.601,0.516,0.556,0.852,0.706
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,3.11
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.777,,1.02,,
Canada,0.664,0.976,1.17,1.35,1.21,1.04,1.09,0.931,0.748,0.581,0.497,0.443,0.532,0.507,0.49,0.46,0.425,0.341,0.332,0.525,0.713,0.693,0.642,0.661,0.628,0.573,0.557,0.537
Switzerland,,,,,,,1.04,0.935,0.867,1.02,0.62,0.832,0.571,1.1,1.33,1.42,1.39,1.27,1.08,1.18,1.5,1.33,1.25,1.36,1.45,1.42,1.51,1.41
Chile,,,,,,,,,,,,,,,,,,,,,1.09,0.938,0.809,0.594,0.646,0.632,0.749,0.856
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,0.582,
Cameroon,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,
Colombia,,,,,,,,,,,,4.23,3.25,3.21,2.87,2.39,,1.29,1.37,1.68,1.91,1.62,1.49,1.33,1.29,1.17,1.25,1.38
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,0.914,1.13,1.49,1.46,1.35,1.13
Cuba,,,,,,,,,,,,,,,,,,,,0.261,0.359,,,,,,,
Cyprus,,,,,,,,,,,1.25,0.812,0.619,0.695,0.826,0.976,0.701,0.493,0.376,0.55,0.875,1.09,2.08,3.18,3.45,3.14,2.61,2.06
Czech Republic,,,,0.805,0.878,1,0.976,1.24,1.86,2.95,3.27,3.06,2.69,3,3.03,3.08,2.91,2.06,1.63,1.85,2.33,2.07,2.21,2.34,2,1.74,1.25,0.86
Germany,,,1.79,2.36,2.77,2.61,2.64,3.01,3.08,2.61,2.32,2.22,2.27,2.74,2.96,3.32,3.27,2.77,2.29,2.09,1.83,1.58,1.39,1.36,1.24,1.13,0.953,0.869
Denmark,,,2.61,2.73,2.43,1.76,1.81,1.46,1.3,1.1,0.973,0.883,0.772,1.06,1.14,1.03,0.763,0.609,0.419,0.641,1.09,1.48,1.68,1.57,1.36,1.32,1.28,1.06
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.23,0.731
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,
Ecuador,,,,,,,,,,,1.24,0.775,,0.832,0.67,0.466,0.497,0.352,0.306,0.408,0.324,0.273,0.216,0.216,0.217,0.361,0.668,0.538
Egypt,,,,,,,,,,,,,,,,,,,2.41,3.05,3.06,2.84,3.22,3.35,,3.32,3.24,3.08
Spain,,,5.02,6.23,7.39,7.22,7.04,6.69,6.22,5.27,4.61,3.08,3.34,3.46,3.31,2.04,1.79,1.68,2.09,3.8,5.12,5.88,7.2,8.13,7.81,7.16,6.23,5.18
Estonia,0.186,0.365,0.797,1.75,2.37,2.4,2.84,2.4,2.34,2.53,3.09,3.93,2.75,2.75,2.63,2.3,1.53,0.961,1.05,2.21,4.25,3.79,2.9,2.2,1.69,1.51,1.26,1.14
Ethiopia,,,,,,,,,,0.956,,,,,,0.688,,,,,,,,0.733,,,,
Finland,,0.968,,3.72,,3.23,3.36,3.18,2.23,2,2.13,1.83,1.64,1.58,1.76,1.56,1.43,1.18,0.91,0.978,1.15,0.978,0.998,1.06,1.21,1.46,1.45,1.32
Fiji,,,,,,,,,,,,,,,,0.801,,,,,,1.11,,,,,0.973,
France,2.29,2.35,2.66,2.84,3.17,3.17,3.26,3.28,3.2,2.85,2.66,2.2,1.93,1.97,2.28,2.22,2.16,1.86,1.59,1.95,2.09,2.18,2.19,2.33,2.58,2.58,2.54,2.39
United Kingdom,,,1.54,1.82,1.65,1.46,1.27,1.11,0.856,0.83,0.748,0.637,0.592,0.559,0.612,0.577,0.742,0.745,0.795,1.17,1.42,1.55,1.65,1.59,1.26,1.01,0.834,0.734
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,2.43,,,,,
Greece,,,2.73,2.86,3.06,3.14,3.7,3.62,4.13,4.61,4.34,3.87,3.86,3.78,4.42,4.07,3.66,3.21,2.73,3.02,4,5.54,7.95,9.33,9.4,9.14,8.91,8.26
Guatemala,,,,,,,,,,,,,,,0.0607,,,,,,0.214,,0.22,0.194,0.202,0.225,0.346,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,0.504,0.426,0.298,0.248,0.308,0.267,0.246,0.254,
Honduras,,,,,,,,,,,,,,,,0.387,0.241,0.179,0.157,0.185,0.407,0.703,0.285,0.115,0.378,0.418,0.372,0.211
Croatia,,,,,,,,,,,,,5,4.09,4.06,3.76,3.45,3.32,3.03,3.21,3.71,3.96,4.8,5.03,5.39,5.07,3.44,2.66
Hungary,,,1.5,2.12,1.91,1.96,2.1,1.73,1.83,1.48,1.34,1.12,1.16,1.27,1.36,1.8,1.97,1.93,1.97,2.35,2.87,2.8,2.77,2.67,2.07,1.83,1.33,1.09
Indonesia,,,,,,,,,,,1.11,1,1.07,1.07,1.22,1.7,1.49,1.65,1.99,1.46,1.41,1.09,0.849,0.829,0.78,0.952,0.503,0.452
Ireland,,,2.89,3.05,3.14,2.51,2.48,2.09,1.44,0.941,0.65,0.503,0.543,0.729,0.623,0.625,0.711,0.876,0.898,1.84,2.97,3.46,3.57,3.54,3.06,2.44,2,1.61
Iran,,,,,,,,,,,,,,,,,,,,1.46,1.78,,,,1.55,1.63,1.98,2.1
Iceland,,0.274,0.345,0.944,0.887,0.804,0.392,0.463,,,0.455,,0.498,,0.746,0.38,0.368,0.241,0.251,0.725,1.31,1.29,1.2,0.897,0.778,0.667,0.263,0.275
Israel,,,,,,0.608,0.495,0.565,0.68,0.832,0.835,0.905,1.11,1.51,1.66,1.38,1.27,1.02,0.808,0.904,0.773,0.613,0.75,0.603,0.488,0.464,0.418,0.327
Italy,,,2.53,3,3.23,3.43,3.56,3.63,3.81,3.8,3.54,3.16,3.06,2.83,2.17,2.06,1.82,1.57,1.71,1.9,2.04,2.1,2.81,3.19,3.61,3.17,3.2,3.12
Japan,0.238,0.237,0.267,0.251,0.391,0.358,0.42,0.434,0.449,0.695,0.709,0.692,0.829,0.858,0.719,0.657,0.565,0.579,0.564,0.761,0.807,0.67,0.701,0.656,0.549,0.474,0.428,0.414
Kazakhstan,,,,,,,,,,,,,,,,,,,,1.41,1.11,0.905,1.12,0.954,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,1.44,1.22,1.36,1.26,1.8,1.82,1.76,1.91,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,0.107,,,,,
South Korea,0.055,0.0744,0.0996,0.113,0.115,0.0955,0.0688,0.101,0.216,0.251,0.126,0.112,0.104,0.0761,0.111,0.129,0.119,0.0818,0.0864,0.0771,,0.0604,0.085,0.085,0.0962,0.147,0.201,0.204
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852
Liberia,,,,,,,,,,,,,,,,,,,,,0.423,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,1.69,1.58,1.48,1.19,1.35,1.29,,,
Lithuania,,,,,,,,,3.93,3.32,3.98,4.59,4.03,3.85,3.71,2.62,1.46,0.875,0.981,2.24,4.28,4.22,3.59,2.94,2.78,2.33,1.84,1.49
Luxembourg,,,0.343,0.563,0.643,0.599,0.566,0.642,0.688,0.513,0.358,0.263,0.664,0.561,1.16,1.07,1.13,0.803,1.19,1.26,0.928,1.2,1.19,1.28,1.13,1.62,1.54,1.17
Latvia,,,,,,,,,4.23,4.17,4.07,3.8,3.2,3.38,3,2.7,1.42,1.08,1.49,3.4,5.18,4.16,4.38,3.18,2.73,2.41,2.25,1.87
"Macao, China",,,,,,,,,,,,,,,,,,,,0.219,0.179,0.175,0.103,0.1,,0.128,0.22,
Morocco,,,,,,,,,,,,,,,,,,,,,,1.56,1.49,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,0.734,0.635,0.607,0.469,0.38,0.356,0.333,0.293,0.328
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,0.583,
Mexico,,,,,,0.159,0.14,0.0583,0.0223,0.0614,0.0402,0.0258,0.0381,0.0347,0.0457,0.0677,0.053,0.0589,0.0567,0.1,0.112,0.095,0.0959,0.107,0.0857,0.0784,0.0666,0.0723
