country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,
Albania,,,,,,,,,,,,,,,,,,6.35,4.66,4.79,5.68,5.69,6.48,6.8,7,6.86,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61
Argentina,,,,,,,,,,,,,,,1.51,1.26,0.905,,0.749,0.801,0.766,0.713,0.686,0.721,0.803,,,1.04
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,6.7,7.3,5.74,
Australia,1.53,2.5,3.49,3.59,3.05,2.45,2.22,2.32,2.24,1.84,1.55,1.53,1.45,1.28,1.09,0.941,0.885,0.637,0.629,1.02,1.03,0.918,1,1.15,1.35,1.4,1.3,1.3
Austria,,,,,0.969,0.796,1.14,1.15,1.15,1.04,1.09,0.813,0.827,1.09,1.27,1.28,1.26,1.09,0.947,1.23,1.24,1.11,1.18,1.3,1.53,1.75,1.87,1.7
Azerbaijan,,,,,,,,,,,,,,,,,,,,2.17,1.94,1.95,1.9,1.79,1.78,1.82,1.88,1.78
Belgium,,,1.68,1.95,2.74,2.75,2.73,2.66,2.79,2.72,1.86,1.88,2.03,2.3,2.3,2.46,2.37,2.14,1.99,2.29,2.7,2.23,2.37,2.73,2.98,2.93,2.56,2.28
Bangladesh,,,,,,,,,,,,,,,,,0.135,,,,1.31,,,0.833,,,,0.54
Bulgaria,,,,,,,,,,,5.96,7.74,6.98,5.26,4.07,3.52,2.88,2.35,1.86,2.16,3.71,4.52,4.97,5.25,4.85,3.83,3,2.37
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,10.5,9.99,7.75,7.89,8.72,8.65,8.85,,9,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,
Bolivia,,,,,,,,,,,,,,,,0.692,0.72,0.5,0.356,,,0.309,0.245,0.244,0.199,0.391,0.321,0.457
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,2.9
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,0.534,,0.543,,
Canada,0.885,1.49,2.02,2.2,1.96,1.56,1.53,1.36,1.12,0.937,0.746,0.693,0.819,0.826,0.741,0.65,0.542,0.522,0.544,0.931,1.13,1.03,0.876,0.876,0.859,0.826,0.902,0.811
Switzerland,,,,,,,1.02,1.27,1.03,0.891,0.634,0.314,0.611,0.99,1.17,1.37,1.09,0.961,0.712,0.975,1.46,1.4,1.27,1.37,1.61,1.5,1.58,1.41
Chile,,,,,,,,,,,,,,,,,,,,,0.975,0.78,0.627,0.556,0.735,0.717,0.907,1.03
